event_id,draw_date,stream,prior_draw_date,prior_result_used_as_seed,seed,base4,seed_core,actual_core,last1_aabc_core,last2_aabc_core,last3_aabc_core,target_core,config,evidence_score,rule_count,max_precision,max_lift,total_support,total_target_hits,final_stream_core_score,has_rule_evidence,matrix_rank_in_stream,daily_opportunity_rank,stream_core_rank_by_deep_score,HISTORY_THROUGH,PLAY_DATE,core_score,full_core_rank,daily_opportunity_rank_num,is_watched8_core,watched8_rank,prior_seed_core,last1_norm,prior_seed_core_for_transition,global_prevcore_to_core_count,stream_prevcore_to_core_count,stream_core_hit_count,lane_top4_normal,lane_watched8_transition,lane_watched8_buried,lane_stream_affinity,trap_keep,trap_lane,trap_lane_weight,trap_priority_score,candidate_member,member_source,member_soft_score,member_soft_reason,existing_final_member_score,existing_member_rank_within_core,existing_daily_member_matrix_rank,existing_played_flag,existing_final_play_rank,existing_final_member_score_num,lane_member_depth,member_trap_score,member_trap_rank_within_core,member_depth_keep,rank_within_stream_trap,trap_final_rank
29,2026-06-18,Massachusetts | Numbers Game Midday,2026-06-17,5825,5825,,258,,258,389,389,389,ALL_BALANCED,17.443333555567857,6.0,0.9091,1.765,82.0,61.0,17.443333555567857,True,13,919,13,2026-06-17,2026-06-18,17.443333555567857,13,919,True,2,258,258,258,3,0,10,True,True,False,True,True,WATCHED8_TRANSITION,2,916.4551667444488,3899,existing_member_matrix,1.1700000000000002,same digital root; ±9 sum support; digit overlap 1,30.1,1,341,False,,30.1,3,935.0101667444487,1,True,4,31
44,2026-06-18,North Carolina | Pick 4 Evening,2026-06-17,9533,9533,,359,,359,358,018,457,ALL_BALANCED,24.932675978683974,8.0,0.8333,1.6416,111.0,85.0,24.932675978683974,True,4,322,4,2026-06-17,2026-06-18,24.932675978683974,4,322,True,2,359,359,359,4,0,6,True,True,False,True,True,WATCHED8_TRANSITION,2,919.5264365925393,4457,existing_member_matrix,0.9200000000000002,same digital root; sum delta <=1; mirror seed-sum last digit in member; digit overlap 1,29.425,2,451,False,,29.425,3,934.9801865925393,1,True,1,32
50,2026-06-18,Oregon | Pick 4 1pm,2026-06-17,5393,5393,,359,,359,027,569,457,ALL_BALANCED,19.55281098927614,6.0,0.8333,1.6416,124.0,91.0,19.55281098927614,True,9,701,9,2026-06-17,2026-06-18,19.55281098927614,9,701,True,2,359,359,359,4,0,5,True,True,False,True,True,WATCHED8_TRANSITION,2,916.8934838462466,4457,existing_member_matrix,0.9200000000000002,same digital root; sum delta <=1; mirror seed-sum last digit in member; digit overlap 1,29.425,2,452,False,,29.425,3,932.3472338462466,1,True,2,33
0,2026-06-18,Arizona | Pick 4 Evening,2026-06-17,4924,4924,,249,,249,469,,027,ALL_BALANCED,27.456990381193997,9.0,0.7692,1.5385,147.0,108.0,27.456990381193997,True,1,239,1,2026-06-17,2026-06-18,27.456990381193997,1,239,True,1,249,249,249,4,0,0,True,True,False,False,True,WATCHED8_TRANSITION,2,917.5599466334179,0027,existing_member_matrix,0.6200000000000001,±10 sum support; digit overlap 1,39.925,1,122,False,,39.925,3,930.9886966334179,1,True,4,34
59,2026-06-18,Rhode Island | Numbers Game Midday,2026-06-17,0905,0905,,059,,059,089,234,567,ALL_BALANCED,14.330999554451557,5.0,0.7368,1.4742,79.0,56.0,14.330999554451557,True,20,1410,20,2026-06-17,2026-06-18,14.330999554451557,20,1410,True,2,059,059,059,3,0,4,True,True,False,True,True,WATCHED8_TRANSITION,2,912.015849844058,5567,existing_member_matrix,1.1700000000000002,same digital root; ±9 sum support; digit overlap 1,30.1,1,344,False,,30.1,3,930.570849844058,1,True,1,35
44,2026-06-18,North Carolina | Pick 4 Evening,2026-06-17,9533,9533,,359,,359,358,018,457,ALL_BALANCED,24.932675978683974,8.0,0.8333,1.6416,111.0,85.0,24.932675978683974,True,4,322,4,2026-06-17,2026-06-18,24.932675978683974,4,322,True,2,359,359,359,4,0,6,True,True,False,True,True,WATCHED8_TRANSITION,2,919.5264365925393,4557,existing_member_matrix,0.52,sum delta <=1; mirror seed-sum last digit in member; digit overlap 1,29.375,3,453,False,,29.375,3,930.1726865925393,2,True,2,36
26,2026-06-18,Maryland | Pick 4 Evening,2026-06-17,5686,5686,,568,,568,129,247,145,ALL_BALANCED,26.58691061174038,9.0,1.0,1.9845,103.0,78.0,26.58691061174038,True,3,269,3,2026-06-17,2026-06-18,26.58691061174038,3,269,True,1,568,568,568,3,0,6,True,True,False,True,True,WATCHED8_TRANSITION,2,918.1554187141091,1145,existing_member_matrix,0.42,seed-sum last digit in member; digit overlap 1,40.60625,2,23,True,20,40.60625,3,929.2863562141091,2,True,2,37
26,2026-06-18,Maryland | Pick 4 Evening,2026-06-17,5686,5686,,568,,568,129,247,145,ALL_BALANCED,26.58691061174038,9.0,1.0,1.9845,103.0,78.0,26.58691061174038,True,3,269,3,2026-06-17,2026-06-18,26.58691061174038,3,269,True,1,568,568,568,3,0,6,True,True,False,True,True,WATCHED8_TRANSITION,2,918.1554187141091,1445,existing_member_matrix,0.42,seed-sum last digit in member; digit overlap 1,40.60625,3,24,True,21,40.60625,3,929.2863562141091,3,True,3,38
68,2026-06-18,Texas | Daily 4 Night,2026-06-17,8850,8850,,058,,058,179,478,389,ALL_BALANCED,30.79808587574876,10.0,0.8095,1.5717,161.0,121.0,30.79808587574876,True,2,144,2,2026-06-17,2026-06-18,30.79808587574876,2,144,True,1,058,058,058,3,0,7,True,True,False,True,True,WATCHED8_TRANSITION,2,920.1793300565121,3389,existing_member_matrix,0.25,sum delta <=2; digit overlap 1,40.03125,3,111,False,,40.03125,3,929.1840175565121,1,True,1,39
73,2026-06-18,"Washington, D.C. | DC-4 11:30pm",2026-06-17,1142,1142,,124,,124,014,257,389,ALL_BALANCED,23.64903635833961,7.0,0.9,1.7593,161.0,118.0,23.64903635833961,True,6,385,6,2026-06-17,2026-06-18,23.64903635833961,6,385,True,1,124,124,124,3,0,4,True,True,False,True,True,WATCHED8_TRANSITION,2,915.9771627254189,3389,existing_member_matrix,0.55,seed-sum last digit in member; mirror seed-sum last digit in member,40.400000000000006,1,72,True,69,40.400000000000006,3,928.6371627254189,1,True,1,40
